grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, ida, gap, pancake28.txt, "17 24 15 3 16 9 10 13 11 2 6 12 1 5 18 8 19 25 0 4 7 23 27 22 20 26 14 21", 27, 27, 4754, 0.000363, 1.30964e+07
X, ida, gap, pancake28.txt, "23 24 25 13 9 2 16 8 15 27 0 7 3 20 21 4 14 11 22 1 17 26 18 12 5 6 19 10", 25, 24, 47460, 0.003618, 1.31177e+07
X, ida, gap, pancake28.txt, "2 11 18 5 21 25 13 0 22 7 9 16 26 1 14 4 8 24 23 6 15 12 3 17 20 27 19 10", 28, 27, 312721, 0.024323, 1.2857e+07
X, ida, gap, pancake28.txt, "16 11 23 4 13 17 26 2 20 18 24 7 0 14 8 25 15 19 12 1 27 5 6 3 22 9 21 10", 27, 27, 15506, 0.001217, 1.27412e+07
X, ida, gap, pancake28.txt, "1 20 18 25 12 22 11 4 7 8 21 26 5 14 9 10 0 13 23 3 15 17 27 16 19 6 2 24", 27, 26, 21152, 0.001588, 1.33199e+07
X, ida, gap, pancake28.txt, "1 18 7 9 3 14 21 12 17 26 25 11 8 13 4 24 16 22 23 27 6 20 0 5 19 10 15 2", 27, 26, 424819, 0.031874, 1.33281e+07
X, ida, gap, pancake28.txt, "20 2 16 9 10 6 7 1 4 22 15 5 3 19 17 18 27 14 8 12 24 13 23 0 11 26 21 25", 26, 25, 777930, 0.059529, 1.30681e+07
X, ida, gap, pancake28.txt, "2 20 12 26 9 15 13 22 1 4 19 24 10 21 27 11 6 0 16 14 25 3 23 18 8 17 7 5", 28, 28, 19949, 0.001648, 1.2105e+07
X, ida, gap, pancake28.txt, "1 11 25 17 15 2 24 7 21 10 6 22 16 4 13 19 0 20 14 12 3 23 18 5 8 9 26 27", 26, 25, 23649, 0.001948, 1.21401e+07
X, ida, gap, pancake28.txt, "25 12 4 9 13 5 6 20 19 8 26 15 7 24 0 3 1 2 23 27 22 10 14 16 18 11 17 21", 25, 25, 9238, 0.000872, 1.0594e+07
X, ida, gap, pancake28.txt, "9 8 21 27 24 1 7 3 13 14 12 17 5 22 15 18 16 20 10 0 4 26 2 25 11 19 6 23", 26, 26, 4926, 0.000381, 1.29291e+07
X, ida, gap, pancake28.txt, "18 2 7 13 11 19 24 21 22 23 4 20 25 17 10 16 6 5 0 8 15 9 14 3 12 26 1 27", 25, 24, 11500, 0.000854, 1.3466e+07
X, ida, gap, pancake28.txt, "26 19 21 9 1 5 22 16 0 18 23 4 27 3 6 11 25 13 8 17 24 2 15 20 12 7 10 14", 29, 28, 108036, 0.008306, 1.3007e+07
X, ida, gap, pancake28.txt, "25 8 27 15 17 18 16 20 6 5 13 19 14 24 3 7 9 10 0 23 11 2 22 26 4 12 21 1", 26, 25, 135178, 0.010188, 1.32684e+07
X, ida, gap, pancake28.txt, "1 27 15 9 6 5 19 4 3 18 21 20 26 17 22 8 23 16 0 13 25 11 2 12 14 10 7 24", 25, 25, 5635, 0.000414, 1.36111e+07
X, ida, gap, pancake28.txt, "3 26 8 6 5 16 25 12 23 20 10 21 13 0 22 19 17 11 7 4 15 14 1 9 24 2 18 27", 26, 25, 22683, 0.001731, 1.3104e+07
X, ida, gap, pancake28.txt, "25 3 27 14 20 0 19 17 6 21 1 15 22 4 10 5 12 24 7 8 26 11 2 9 16 13 23 18", 28, 27, 41810, 0.00321, 1.30249e+07
X, ida, gap, pancake28.txt, "15 3 22 14 24 9 10 27 19 25 17 26 23 8 11 20 7 21 1 18 0 13 16 4 2 6 12 5", 27, 27, 12833, 0.00099, 1.29626e+07
X, ida, gap, pancake28.txt, "15 17 6 27 1 19 20 16 23 3 12 0 25 22 18 5 4 10 14 24 26 13 2 8 21 7 11 9", 27, 26, 73940, 0.005563, 1.32914e+07
X, ida, gap, pancake28.txt, "14 22 25 9 6 18 17 4 1 27 8 5 11 15 3 12 13 20 16 10 26 2 7 19 21 24 0 23", 27, 26, 14540, 0.001113, 1.30638e+07
X, ida, gap, pancake28.txt, "15 22 8 23 17 5 25 19 24 6 11 3 21 4 26 1 27 16 14 7 2 20 13 0 9 10 18 12", 27, 27, 5193, 0.0004, 1.29825e+07
X, ida, gap, pancake28.txt, "24 15 18 2 20 17 22 8 26 12 4 7 9 16 1 5 14 27 0 19 11 3 10 6 13 25 21 23", 29, 28, 147299, 0.011056, 1.3323e+07
X, ida, gap, pancake28.txt, "16 15 19 25 23 7 17 22 5 4 0 24 9 14 11 10 1 18 13 3 6 26 2 27 8 20 12 21", 26, 25, 39862, 0.002984, 1.33586e+07
X, ida, gap, pancake28.txt, "1 7 12 23 14 8 22 4 18 25 11 10 6 17 13 21 24 15 5 16 20 27 2 3 19 9 0 26", 26, 26, 16678, 0.001294, 1.28887e+07
X, ida, gap, pancake28.txt, "5 4 21 23 14 20 0 10 13 9 16 1 22 2 25 27 12 8 17 6 26 7 24 19 3 18 11 15", 27, 27, 11490, 0.000886, 1.29684e+07
X, ida, gap, pancake28.txt, "5 14 16 8 15 21 11 4 17 27 0 18 13 20 23 19 6 2 7 1 25 24 22 26 10 12 9 3", 27, 27, 9837, 0.000748, 1.31511e+07
X, ida, gap, pancake28.txt, "2 22 24 16 6 10 27 14 5 20 21 13 4 25 23 0 17 11 7 12 8 3 26 1 19 9 18 15", 27, 27, 13366, 0.001011, 1.32206e+07
X, ida, gap, pancake28.txt, "20 0 21 2 3 9 1 12 24 14 27 4 17 19 15 18 22 5 7 16 10 6 13 25 23 26 8 11", 28, 27, 73987, 0.006095, 1.2139e+07
X, ida, gap, pancake28.txt, "25 15 11 14 4 12 7 8 10 21 19 3 18 2 0 6 22 24 5 1 13 16 9 27 20 17 26 23", 28, 27, 82039, 0.006566, 1.24945e+07
X, ida, gap, pancake28.txt, "6 22 12 0 26 8 27 7 20 15 16 13 1 14 17 24 21 4 9 19 5 23 11 2 3 25 18 10", 27, 26, 13765, 0.001017, 1.35349e+07
X, ida, gap, pancake28.txt, "15 0 6 9 8 25 2 16 26 1 14 12 13 5 27 23 17 11 10 20 4 21 24 7 19 22 18 3", 26, 25, 265553, 0.020673, 1.28454e+07
X, ida, gap, pancake28.txt, "7 25 16 24 18 19 14 5 21 15 12 11 6 0 23 26 1 22 13 17 8 9 2 4 10 27 20 3", 25, 25, 579, 4.5e-05, 1.28667e+07
X, ida, gap, pancake28.txt, "7 12 15 13 3 5 22 26 23 18 20 16 1 6 8 19 21 10 4 9 25 11 14 0 24 27 2 17", 28, 28, 67119, 0.005101, 1.3158e+07
X, ida, gap, pancake28.txt, "18 5 4 14 24 12 17 20 22 27 2 3 26 9 16 0 10 11 6 21 8 25 15 23 1 19 7 13", 26, 25, 14162, 0.001108, 1.27816e+07
X, ida, gap, pancake28.txt, "24 1 15 12 22 27 13 2 10 19 14 3 17 23 21 9 0 6 18 7 20 11 16 26 5 25 4 8", 28, 28, 2913, 0.00022, 1.32409e+07
X, ida, gap, pancake28.txt, "27 16 2 6 11 24 8 25 15 14 20 17 26 23 12 9 13 5 0 1 7 10 22 19 18 21 3 4", 25, 24, 17990, 0.001338, 1.34454e+07
X, ida, gap, pancake28.txt, "16 13 7 6 12 4 10 8 0 24 2 18 17 21 25 19 11 5 14 15 26 23 9 1 27 22 3 20", 26, 25, 79105, 0.005909, 1.33872e+07
X, ida, gap, pancake28.txt, "19 17 22 25 26 10 5 13 23 0 16 21 3 24 15 7 27 1 14 20 6 4 9 12 11 2 8 18", 27, 26, 61415, 0.004762, 1.28969e+07
X, ida, gap, pancake28.txt, "27 22 24 4 1 14 17 12 21 20 23 2 8 13 25 16 7 9 3 10 26 11 6 15 0 19 18 5", 27, 26, 264422, 0.020214, 1.30811e+07
X, ida, gap, pancake28.txt, "25 3 9 0 4 21 19 15 23 17 6 18 11 24 16 7 20 8 13 14 12 1 26 2 10 27 5 22", 27, 27, 29413, 0.00227, 1.29573e+07
X, ida, gap, pancake28.txt, "5 27 23 20 17 24 14 4 9 6 15 2 13 1 12 25 8 19 3 21 7 10 26 11 0 18 22 16", 29, 28, 244291, 0.018923, 1.29097e+07
X, ida, gap, pancake28.txt, "2 26 17 23 3 16 20 15 12 7 13 19 24 11 5 10 21 27 1 9 0 25 14 6 22 8 18 4", 28, 28, 30000, 0.003031, 9.89772e+06
X, ida, gap, pancake28.txt, "19 10 18 21 4 8 25 7 24 16 15 14 2 11 23 1 0 12 3 26 17 22 13 6 27 9 5 20", 26, 25, 222891, 0.017186, 1.29693e+07
